Update,Type,Abundance
34200,Cheater,5220
34300,Cooperator,3123
34300,Cheater,5200
34400,Cooperator,3228
34400,Cheater,4979
34500,Cooperator,3237
34500,Cheater,5456
34600,Cooperator,2777
34600,Cheater,5236
34700,Cooperator,2846
34700,Cheater,5139
34800,Cooperator,2886
34800,Cheater,5377
34900,Cooperator,2732
34900,Cheater,5206
35000,Cooperator,2630
35000,Cheater,4864
35100,Cooperator,2465
35100,Cheater,4559
35200,Cooperator,2619
35200,Cheater,4575
35300,Cooperator,2673
35300,Cheater,4573
35400,Cooperator,2396
35400,Cheater,5161
35500,Cooperator,2282
35500,Cheater,4331
35600,Cooperator,1880
35600,Cheater,4406
35700,Cooperator,1116
35700,Cheater,4149
35800,Cooperator,906
35800,Cheater,3792
35900,Cooperator,874
35900,Cheater,3945
36000,Cooperator,1098
36000,Cheater,4020
36100,Cooperator,1077
36100,Cheater,3645
36200,Cooperator,1182
36200,Cheater,3870
36300,Cooperator,1462
36300,Cheater,4536
36400,Cooperator,1654
36400,Cheater,4588
36500,Cooperator,2046
36500,Cheater,4983
36600,Cooperator,2102
36600,Cheater,4833
36700,Cooperator,2409
36700,Cheater,4461
36800,Cooperator,2493
36800,Cheater,4288
36900,Cooperator,2655
36900,Cheater,4386
37000,Cooperator,3081
37000,Cheater,4249
37100,Cooperator,3048
37100,Cheater,4697
37200,Cooperator,3090
37200,Cheater,4594
37300,Cooperator,3358
37300,Cheater,4824
37400,Cooperator,3697
37400,Cheater,4492
37500,Cooperator,3886
37500,Cheater,4570
37600,Cooperator,3830
37600,Cheater,4587
37700,Cooperator,4020
37700,Cheater,4698
37800,Cooperator,4436
37800,Cheater,4776
37900,Cooperator,4754
37900,Cheater,4193
38000,Cooperator,4784
38000,Cheater,4064
38100,Cooperator,4714
38100,Cheater,4349
38200,Cooperator,4909
38200,Cheater,3977
38300,Cooperator,4744
38300,Cheater,4223
38400,Cooperator,4810
38400,Cheater,4341
38500,Cooperator,4774
38500,Cheater,4558
38600,Cooperator,4898
38600,Cheater,3972
38700,Cooperator,4795
38700,Cheater,4026
38800,Cooperator,5027
38800,Cheater,4153
38900,Cooperator,5164
38900,Cheater,3950
39000,Cooperator,5315
39000,Cheater,4193
39100,Cooperator,5123
39100,Cheater,4085
39200,Cooperator,5151
39200,Cheater,4043
39300,Cooperator,5227
39300,Cheater,4067
39400,Cooperator,5304
39400,Cheater,4081
39500,Cooperator,5200
39500,Cheater,3913
39600,Cooperator,5142
39600,Cheater,4434
39700,Cooperator,5303
39700,Cheater,4138
39800,Cooperator,5220
39800,Cheater,4239
39900,Cooperator,5259
39900,Cheater,4074
40000,Cooperator,5163
40000,Cheater,4362
40100,Cooperator,5098
40100,Cheater,4066
40200,Cooperator,5404
40200,Cheater,4148
40300,Cooperator,5684
40300,Cheater,3451
40400,Cooperator,5699
40400,Cheater,3568
